data_consulta,horario_consulta,preco_por_adulto,preco_total_2_adultos,companhia_voo,fonte,link,observacoes
2026-08-26,13:27,658.00,1316.00,GOL,KAYAK,,"Estimativa agregada via busca na web (não é cotação exata confirmada para 26-30/11/2026 com 2 adultos). KAYAK indicou que, nos últimos 5 dias pesquisados, os menores preços ida e volta na rota GYN-FLN foram GOL R$658 e LATAM R$678 (por pessoa). Decolar mostra preço geral 'a partir de R$823' por pessoa. Não há voos diretos; a rota usual tem conexão em São Paulo. Recomenda-se confirmar o valor exato diretamente no site da companhia ou agregador antes de comprar."
2026-08-26,13:33,658.00,1316.00,GOL,KAYAK,https://www.kayak.com.br/flights/GYN-FLN/2026-11-26/2026-11-30/2adults,"Estimativa agregada via busca na web (sites de busca como Kayak, Decolar e Google Flights bloqueados para acesso automatizado direto nesta execução; dados via snippets de busca, não é cotação exata confirmada para 26-30/11/2026 com 2 adultos). Página da rota KAYAK GYN-FLN repete os mesmos menores preços 'últimos 5 dias pesquisados': GOL R$658 e LATAM R$678 por pessoa. Decolar mostra preço geral 'a partir de R$823' e ViajaNet 'a partir de R$834' por pessoa (piso genérico da rota, não específico das datas). Um exemplo de busca próxima (20-25/11/2026, 5 dias antes da janela pedida) mostrou tarifas a partir de R$517,92. Não há voos diretos; rota usual com conexão em São Paulo (GRU/CGH). Recomenda-se fortemente confirmar o valor exato diretamente no site antes de comprar."
2026-08-26,20:11,658.00,1316.00,GOL,KAYAK,https://www.kayak.com.br/flights/GYN-FLN/2026-11-26/2026-11-30/2adults,"Estimativa agregada via busca na web (sites de busca como Kayak, Decolar e Google Flights seguem bloqueados para acesso automatizado direto nesta execução; dados via snippets de busca, não é cotação exata confirmada para 26-30/11/2026 com 2 adultos). Buscas repetem os mesmos menores preços 'últimos dias pesquisados' na rota GYN-FLN: GOL R$658 e LATAM R$678 por pessoa (ida e volta). Decolar mostra preço geral 'a partir de R$823' por pessoa (piso genérico da rota, não específico das datas). Dados de sazonalidade (momondo) indicam que outubro e dezembro são os meses mais caros do ano nesta rota (médias de R$1.134 e R$1.305 ida e volta); novembro pode ficar acima da média anual, então o valor real para as datas pedidas pode ser maior que a estimativa de R$658. Não há voos diretos; rota usual com conexão em São Paulo (GRU/CGH) ou Rio de Janeiro (GIG). Recomenda-se fortemente confirmar o valor exato diretamente no site antes de comprar."
2026-08-27,03:19,658.00,1316.00,GOL,KAYAK,https://www.kayak.com.br/flights/GYN-FLN/2026-11-26/2026-11-30/2adults,"Estimativa agregada via busca na web (Kayak, Decolar e Google Flights seguem bloqueados para acesso automatizado direto nesta execução; dados via snippets de busca, não é cotação exata confirmada para 26-30/11/2026 com 2 adultos). Buscas repetem os mesmos menores preços 'últimos dias pesquisados' na rota GYN-FLN: GOL R$658 e LATAM R$678 por pessoa (ida e volta). Decolar mostra preço geral 'a partir de R$823' por pessoa (piso genérico da rota, não específico das datas). Não há voos diretos; rota usual com conexão em São Paulo (GRU/CGH) ou Rio de Janeiro (GIG). Recomenda-se fortemente confirmar o valor exato diretamente no site antes de comprar."
2026-08-27,08:18,658.00,1316.00,GOL,KAYAK,https://www.kayak.com.br/flights/GYN-FLN/2026-11-26/2026-11-30/2adults,"Estimativa agregada via busca na web (WebFetch direto em Kayak, Decolar, Skyscanner e Momondo bloqueado pelo proxy de rede nesta execução; dados via snippets de busca do Google, não é cotação exata confirmada para 26-30/11/2026 com 2 adultos). Buscas repetidas continuam retornando o mesmo dado consistente 'últimos 5 dias/72 horas pesquisados' do KAYAK para a rota GYN-FLN: GOL R$658 e LATAM R$678 por pessoa (ida e volta) — mesmo valor observado nas 4 consultas anteriores, o que sugere um piso de cache do agregador e não necessariamente o preço exato das datas 26-30/11/2026. Decolar mostra piso geral 'a partir de R$823' por pessoa (não específico das datas). Não há voos diretos; rota usual com conexão em São Paulo (GRU/CGH) ou Rio de Janeiro (GIG). Recomenda-se fortemente confirmar o valor exato diretamente no site antes de comprar."
2026-08-27,12:13,658.00,1316.00,GOL,KAYAK,https://www.kayak.com.br/flights/GYN-FLN/2026-11-26/2026-11-30/2adults,"Estimativa agregada via busca na web (WebFetch direto em Kayak, Decolar, Google Flights e Momondo seguem bloqueados pelo proxy de rede nesta execução; dados via snippets de busca do Google, não é cotação exata confirmada para 26-30/11/2026 com 2 adultos). Buscas repetidas continuam retornando o mesmo dado consistente 'últimos 5 dias pesquisados' do KAYAK para a rota GYN-FLN: GOL R$658 e LATAM R$678 por pessoa (ida e volta) — mesmo valor observado nas 5 consultas anteriores, o que reforça a hipótese de piso de cache do agregador e não necessariamente o preço exato das datas 26-30/11/2026. Decolar mostra piso geral 'a partir de R$823' e ViajaNet 'a partir de R$834' por pessoa (não específico das datas). Momondo indica preço médio para voos em novembro de ~R$320 (provavelmente só ida, não ida e volta 26-30/11). Não há voos diretos; rota usual com conexão em São Paulo (GRU/CGH) ou Rio de Janeiro (GIG). Recomenda-se fortemente confirmar o valor exato diretamente no site antes de comprar."
2026-08-27,20:14,658.00,1316.00,GOL,KAYAK,https://www.kayak.com.br/flights/GYN-FLN/2026-11-26/2026-11-30/2adults,"Estimativa agregada via busca na web (WebFetch direto em Kayak, Decolar, Google Flights e Momondo seguem bloqueados pelo proxy de rede nesta execucao - erro EGRESS_BLOCKED confirmado ao tentar acessar www.kayak.com.br; dados via snippets de busca do Google, nao e cotacao exata confirmada para 26-30/11/2026 com 2 adultos). Buscas repetidas continuam retornando o mesmo dado consistente 'ultimos 5 dias pesquisados' do KAYAK para a rota GYN-FLN: GOL R$658 e LATAM R$678 por pessoa (ida e volta) - mesmo valor observado nas 6 consultas anteriores, o que reforca a hipotese de piso de cache do agregador e nao necessariamente o preco exato das datas 26-30/11/2026. Decolar mostra piso geral 'a partir de R$823' por pessoa e Momondo cita 'a partir de R$585' (pisos genericos da rota, nao especificos das datas pedidas). Nao ha voos diretos; rota usual com conexao em Sao Paulo (GRU/CGH) ou Rio de Janeiro (GIG). Recomenda-se fortemente confirmar o valor exato diretamente no site antes de comprar."
2026-08-28,03:16,658.00,1316.00,GOL,KAYAK,https://www.kayak.com.br/flights/GYN-FLN/2026-11-26/2026-11-30/2adults,"Estimativa agregada via busca na web (WebFetch direto em Kayak, Decolar e Google Flights seguem bloqueados pelo proxy de rede nesta execucao - erro EGRESS_BLOCKED confirmado nas tres tentativas; dados via snippets de busca do Google, nao e cotacao exata confirmada para 26-30/11/2026 com 2 adultos). Buscas repetidas continuam retornando o mesmo dado consistente do KAYAK para a rota GYN-FLN: GOL R\$658 e LATAM R\$678 por pessoa (ida e volta) - identico as 7 consultas anteriores ao longo de mais de 48h, reforcando a hipotese de piso de cache/estimativa do agregador, nao necessariamente o preco exato das datas pedidas. Decolar mostra piso geral a partir de R\$823 por pessoa (generico da rota). Nao ha voos diretos; rota usual com conexao em Sao Paulo (GRU/CGH) ou Rio de Janeiro (GIG). Recomenda-se fortemente confirmar o valor exato diretamente no link antes de comprar."
2026-08-28,08:17,823.00,1646.00,"Não especificado (piso agregador Decolar)",Decolar,https://www.kayak.com.br/flights/GYN-FLN/2026-11-26/2026-11-30/2adults,"Estimativa agregada via busca na web (WebFetch direto em Kayak, Decolar e Momondo segue bloqueado pelo proxy de rede - EGRESS_BLOCKED confirmado nesta execução; dados via snippets de busca do Google, não é cotação exata para 26-30/11/2026 com 2 adultos). IMPORTANTE: a estimativa GOL R$658/LATAM R$678 usada nas 8 consultas anteriores (via widget 'últimos dias pesquisados' do Kayak) NÃO reapareceu nesta busca, apesar de tentativa dedicada; isso reforça a suspeita de que era um piso de cache/estimativa antigo do agregador, não necessariamente atualizado. O dado mais estável e repetidamente confirmado em buscas (inclusive nesta execução) é o piso do Decolar 'a partir de R$823' por pessoa (ida e volta, genérico da rota, sem companhia especificada, não específico das datas pedidas). Kayak também exibe pisos menores em páginas de SEO da rota (R$331 geral, R$243 GOL) que parecem ser tarifas mínimas históricas/one-way e não representam o preço real ida e volta 26-30/11/2026 para 2 adultos. Não há voos diretos; rota usual com conexão em São Paulo (GRU/CGH) ou Rio de Janeiro (GIG). Recomenda-se fortemente confirmar o valor exato diretamente no site antes de comprar."
2026-08-28,10:37,486.00,972.00,Não especificado (ver link),Google Flights (scraping real),https://www.google.com/travel/flights?tfs=CBwQARocagcIARIDR1lOchEIAxINL2cvMTFiYzZ4bHBwZBocahEIAxINL2cvMTFiYzZ4bHBwZHIHCAESA0dZTkABQAFIAXABggELCP___________wGYAQE&tfu=KgIIAw&hl=en&gl=BR&curr=BRL,"Preço extraído via scraping real (Playwright) da página de resultados do Google Flights, com origem/destino/datas/2 adultos preenchidos na própria UI. Interpretação do valor exibido como preço por passageiro com base no texto da página; confirme no link antes de comprar. | Falharam nesta execução: Decolar: sem resultado válido nesta execução (ver logs acima). | (Consulta das 10:34 do mesmo dia removida do histórico: era a mesma cotação, mas com um bug de interpretação já corrigido -- dividia o preço por 2 sem necessidade, registrando R$243/adulto errado em vez dos R$486/adulto corretos aqui.)"
